Rating,Users,Subscribers,Audience,Authentic,Engagement
1,rohitsharma45,37.9M,India,3.1M,3.5M
2,jlo,253.2M,United States,334K,492.6K
3,yong.lixx,21.9M,Brazil,2.4M,3.2M
4,jasonstatham,42M,Iran,1M,1.3M
5,vindiesel,102.9M,Brazil,376.3K,482.3K
6,johnnydepp,28.7M,United States,893.9K,1.1M
7,susana.dxoxo,25.2M,United States,573.3K,1.3M
8,vladimirshmondenko,13.8M,Russia,1.3M,1.7M
9,cznburak,54.3M,Turkey,283.9K,369.8K
10,gnabnahc,8M,Brazil,1.8M,2.4M
11,thenotoriousmma,47.6M,United States,254K,322.3K
12,gusein.gasanov,28.6M,Russia,373.9K,533.7K
13,victoriabeckham,33M,United Kingdom,285.6K,369K
14,hakkiakdenizz,35.4M,Turkey,196.1K,332.1K
15,otabek_muhammadalievich,32.7M,Russia,163.4K,259.5K
16,pugachevmark,19.8M,Russia,176.5K,403.6K
17,snejanaonopka15,15.7M,Brazil,262.2K,457.9K
18,hannahstocking,26.4M,United States,200.4K,268.2K
19,araikgalstyanmoscowschool,22.4M,Russia,153K,292.4K
20,kashikakapoor09,18.2M,India,143.3K,318K
21,subo_m,13M,Russia,301.7K,375.6K
22,erkangndzlp,9M,Russia,252.9K,518.4K
23,evcenf,13.8M,Turkey,234.5K,302.3K
24,hasbulla.hushetskiy,8.3M,Russia,329.3K,491.1K
25,neslihanatagul,14.2M,Iraq,220.9K,272.9K
26,thebursin,11.2M,Turkey,269.7K,336.3K
27,ulugbekhon,12M,Russia,158.4K,295.6K
28,irinashayk,23.5M,Russia,111.1K,141.8K
29,rosiehw,19.9M,United States,117.4K,161.2K
30,ufc,41.7M,United States,60.6K,73.7K
31,eilirjani,12.1M,United States,112.5K,251.9K
32,leonardodicaprio,62.1M,United States,37.6K,46.2K
33,twentyonepilots,8.6M,United States,277.9K,329.9K
34,schwarzenegger,26.3M,United States,80K,101.8K
35,pinchuk_official,5M,Russia,400.9K,516.3K
36,urgantcom,11.9M,Russia,174.5K,200.8K
37,ler_chek,10.4M,Russia,55.4K,201.2K
38,brianmaps,5.9M,Russia,310.6K,348.3K
39,islam_makhachev,8.3M,Russia,194.1K,241.3K
40,kikakim,8.5M,Kazakhstan,186.4K,219.3K
41,imaginedragons,8.1M,United States,190.2K,225.8K
42,rahimabramov,6M,Russia,167.1K,275.4K
43,wengallbi_tm,5.3M,Russia,227.2K,280.8K
44,mercedesbenz,38.5M,Iran,29.7K,36.9K
45,timatiofficial,20.2M,Russia,56.5K,69K
46,abdu_rozik,8.3M,Tajikistan,127.5K,163.1K
47,kvara7,3.5M,Russia,284.6K,364.3K
48,adidas,29M,United States,34K,43.3K
49,lilpump,14.1M,United States,52.7K,87.5K
50,love__rose92,5.9M,India,142.1K,204.7K
